Price,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
2/24/2014,4419.129883,4419.129883,4373.569824,4374.459961,95223800
2/25/2014,4414.549805,4416.160156,4383.240234,4406.419922,111757500
2/26/2014,4396.910156,4420.939941,4381.189941,4414.359863,113683200
2/27/2014,4396.390137,4408.22998,4354.950195,4400.660156,142607100
2/28/2014,4408.080078,4413.649902,4367.959961,4405.200195,120235300
3/3/2014,4290.870117,4346.950195,4288.439941,4338.790039,157761500
3/4/2014,4395.899902,4399.810059,4337.350098,4340.830078,125890900
3/5/2014,4391.25,4402.120117,4377.649902,4384.609863,106194600
3/6/2014,4417.040039,4431.160156,4402.160156,4408.129883,147376000
3/7/2014,4366.419922,4432.5,4364.200195,4416.160156,157180000
3/10/2014,4370.839844,4417.799805,4346.830078,4365.490234,129388400
3/11/2014,4349.720215,4386.72998,4343.950195,4384.740234,102575400
3/12/2014,4306.259766,4327.850098,4273.379883,4322.759766,123684500
3/13/2014,4250.509766,4319.640137,4250.509766,4315.390137,112881900
3/14/2014,4216.370117,4236.580078,4183,4220.649902,184194100
3/17/2014,4271.959961,4277.060059,4211.620117,4216.910156,105750500
3/18/2014,4313.259766,4341.839844,4250.470215,4264.339844,125862400
3/19/2014,4308.060059,4329.47998,4295.060059,4312.870117,102362300
3/20/2014,4327.910156,4328.180176,4261.419922,4277.120117,144369900
3/21/2014,4335.279785,4353.390137,4323.27002,4333.450195,181677900
3/24/2014,4276.339844,4332.169922,4266.97998,4321.990234,130239400
3/25/2014,4344.120117,4351.609863,4286.759766,4286.759766,115775900
3/26/2014,4385.149902,4398.47998,4353.859863,4358.040039,100125800
3/27/2014,4379.060059,4390.169922,4359.290039,4374.939941,135638200
3/28/2014,4411.259766,4411.379883,4388.160156,4391.709961,99527500
3/31/2014,4391.5,4430.899902,4390.77002,4426.830078,89922800
4/1/2014,4426.720215,4440.040039,4401.290039,4408.740234,110908200
4/2/2014,4430.859863,4438.629883,4421.5,4429.390137,103632600
4/3/2014,4449.330078,4469.839844,4417.350098,4430.680176,98980900
4/4/2014,4484.549805,4496.540039,4447,4459.870117,113377600
4/7/2014,4436.080078,4464.040039,4432.290039,4453.189941,127786600
4/8/2014,4424.830078,4448.430176,4384.660156,4443.209961,149398000
4/9/2014,4442.680176,4454.740234,4426.390137,4431.359863,96745100
4/10/2014,4413.490234,4466.189941,4408.609863,4456.709961,103990700
4/11/2014,4365.859863,4384.029785,4333.870117,4378.930176,138154100
4/14/2014,4384.560059,4384.560059,4319.279785,4345.620117,132160900
